Enum Name,Value,Entry Name
JAISoundInfoID,5,JA_BGM_KINDAN_BOSS
JAISoundInfoID,5,JA_STRM_DEMO_GO_MAJU
JAISoundInfoID,6,JA_BGM_D_RYU_MT
JAISoundInfoID,6,JA_STRM_MJ_DEMO_INTRO
JAISoundInfoID,7,JA_BGM_I_MAJU
JAISoundInfoID,7,JA_STRM_BKM_START
JAISoundInfoID,8,JA_BGM_HOUSE
JAISoundInfoID,8,JA_SE_TELESCOPE_ZOOM
JAISoundInfoID,8,JA_STRM_DK_START
JAISoundInfoID,9,JA_BGM_OPEN_BOX
JAISoundInfoID,9,JA_STRM_BST_START
JAISoundInfoID,10,JA_BGM_DIE_LINK
JAISoundInfoID,10,JA_STRM_DEMO_14_01
JAISoundInfoID,11,JA_BGM_SEA_GAME
JAISoundInfoID,11,JA_STRM_DEMO_14_02
JAISoundInfoID,12,JA_BGM_SEA_GOAL
JAISoundInfoID,12,JA_STRM_DEMO_14_03
JAISoundInfoID,13,JA_BGM_SEA_FAIL
JAISoundInfoID,13,JA_STRM_DEMO_14_04
JAISoundInfoID,14,JA_BGM_ISLAND_LINK_2
JAISoundInfoID,14,JA_STRM_DEMO_14_05
JAISoundInfoID,15,JA_BGM_I_MAJU_JAIL
JAISoundInfoID,15,JA_STRM_RANE_START
JAISoundInfoID,16,JA_BGM_GOMA_2
JAISoundInfoID,16,JA_STRM_DEMO_15_01
JAISoundInfoID,17,JA_BGM_JI_TRAINING
JAISoundInfoID,17,JA_STRM_DEMO_15_02
JAISoundInfoID,18,JA_BGM_TETRA_MEET
JAISoundInfoID,18,JA_STRM_DEMO_15_03
JAISoundInfoID,19,JA_BGM_BK_FLY_DOWN
JAISoundInfoID,19,JA_STRM_DEMO_15_04
JAISoundInfoID,20,JA_BGM_DK_BATTLE
JAISoundInfoID,20,JA_STRM_DEMO_04_01
JAISoundInfoID,21,JA_BGM_MJ_TOWER_BATTLE
JAISoundInfoID,21,JA_STRM_DEMO_04_02
JAISoundInfoID,22,JA_BGM_FIND_TETRA
JAISoundInfoID,22,JA_STRM_DEMO_08_01
JAISoundInfoID,23,JA_BGM_I_LINK_FOREST
JAISoundInfoID,23,JA_STRM_DEMO_08_02
JAISoundInfoID,24,JA_BGM_HOUSE_G
JAISoundInfoID,24,JA_STRM_DEMO_08_03
JAISoundInfoID,25,JA_BGM_MBOSS
JAISoundInfoID,25,JA_STRM_BST_CLEAR
JAISoundInfoID,26,JA_BGM_MBOSS_S
JAISoundInfoID,26,JA_STRM_DK_CLEAR
JAISoundInfoID,27,JA_BGM_BOAT_SHOP
JAISoundInfoID,27,JA_SE_CAMERA_C_MOVE
JAISoundInfoID,27,JA_STRM_BWD_CLEAR
JAISoundInfoID,28,JA_BGM_SEA_ENEMY
JAISoundInfoID,28,JA_STRM_DEMO_05_01
JAISoundInfoID,29,JA_BGM_MORNING
JAISoundInfoID,29,JA_STRM_DEMO_24_01
JAISoundInfoID,30,JA_BGM_SELECT
JAISoundInfoID,30,JA_SE_WINDTAKT_PLAY
JAISoundInfoID,30,JA_STRM_DEMO_24_02
JAISoundInfoID,31,JA_BGM_MEDRI_AWAKE
JAISoundInfoID,31,JA_STRM_DEMO_24_03
JAISoundInfoID,32,JA_BGM_MAKORE_AWAKE
JAISoundInfoID,32,JA_STRM_DEMO_24_04
JAISoundInfoID,33,JA_BGM_TAKT_MAKORE
JAISoundInfoID,33,JA_STRM_DEMO_24_05
JAISoundInfoID,34,JA_BGM_TAKT_MEDRI
JAISoundInfoID,34,JA_STRM_DEMO_24_06
JAISoundInfoID,35,JA_BGM_BST_BATTLE
JAISoundInfoID,35,JA_STRM_DEMO_33_01
JAISoundInfoID,36,JA_BGM_GET_HEART
JAISoundInfoID,36,JA_STRM_DEMO_01_01
JAISoundInfoID,37,JA_BGM_ITEM_GET_S
JAISoundInfoID,37,JA_STRM_DEMO_19_01
JAISoundInfoID,38,JA_BGM_D_FOREST
JAISoundInfoID,38,JA_STRM_DEMO_25_01
JAISoundInfoID,39,JA_BGM_GET_SONG
JAISoundInfoID,39,JA_STRM_DEMO_25_02
JAISoundInfoID,40,JA_BGM_KAMI_TOWER
JAISoundInfoID,40,JA_STRM_DEMO_25_03
JAISoundInfoID,41,JA_BGM_RANE_BATTLE
JAISoundInfoID,41,JA_STRM_DEMO_25_04
JAISoundInfoID,42,JA_BGM_PIRATE
JAISoundInfoID,42,JA_STRM_DEMO_18_01
JAISoundInfoID,43,JA_BGM_DIOCTA_BATTLE
JAISoundInfoID,43,JA_STRM_DEMO_26_01
JAISoundInfoID,44,JA_BGM_PIRATE_C
JAISoundInfoID,44,JA_STRM_DEMO_26_02
JAISoundInfoID,45,JA_BGM_D_EARTH
JAISoundInfoID,45,JA_STRM_DEMO_23_01
JAISoundInfoID,46,JA_BGM_SEA
JAISoundInfoID,46,JA_STRM_DEMO_23_02
JAISoundInfoID,47,JA_BGM_D_WIND
JAISoundInfoID,47,JA_STRM_DEMO_23_03
JAISoundInfoID,48,JA_BGM_TAKT_CHUYA
JAISoundInfoID,48,JA_STRM_DEMO_23_04
JAISoundInfoID,49,JA_BGM_TAKT_KAZE
JAISoundInfoID,49,JA_STRM_DEMO_23_05
JAISoundInfoID,50,JA_BGM_TAKT_SHIPPU
JAISoundInfoID,50,JA_STRM_DEMO_44_01
JAISoundInfoID,51,JA_BGM_TETRA_MEET_B
JAISoundInfoID,51,JA_STRM_DEMO_43_01
JAISoundInfoID,52,JA_BGM_HYRULE_OFF
JAISoundInfoID,52,JA_STRM_BPW_START
JAISoundInfoID,53,JA_BGM_HYRULE_ON
JAISoundInfoID,53,JA_STRM_DEMO_27_01
JAISoundInfoID,54,JA_BGM_CB_NEXTYEAR
JAISoundInfoID,54,JA_STRM_DEMO_28_01
JAISoundInfoID,55,JA_BGM_CB_NEXTYEAR_W
JAISoundInfoID,55,JA_STRM_DEMO_28_02
JAISoundInfoID,56,JA_BGM_ISLAND_LINK_0
JAISoundInfoID,56,JA_STRM_DEMO_29_01
JAISoundInfoID,57,JA_BGM_ISLAND_WOOD
JAISoundInfoID,57,JA_STRM_DEMO_36_01
JAISoundInfoID,58,JA_BGM_ISLAND_DRAGON
JAISoundInfoID,58,JA_STRM_DEMO_34_01
JAISoundInfoID,59,JA_BGM_ISLAND_TAURA
JAISoundInfoID,59,JA_STRM_DEMO_30_01
JAISoundInfoID,60,JA_BGM_SEA_STORM
JAISoundInfoID,60,JA_STRM_DEMO_31_01
JAISoundInfoID,61,JA_BGM_PIRATE_DEMO5
JAISoundInfoID,61,JA_STRM_DEMO_32_01
JAISoundInfoID,62,JA_BGM_JI_TRAINING_2
JAISoundInfoID,62,JA_STRM_TITLE
JAISoundInfoID,63,JA_BGM_I_WOOD_INNER
JAISoundInfoID,63,JA_STRM_DEMO_42_01
JAISoundInfoID,64,JA_BGM_DRUG_STORE
JAISoundInfoID,64,JA_STRM_DEMO_42_02
JAISoundInfoID,65,JA_BGM_P_GANON_1
JAISoundInfoID,65,JA_STRM_DEMO_42_03
JAISoundInfoID,66,JA_BGM_D_GANON_1
JAISoundInfoID,66,JA_STRM_DEMO_42_04
JAISoundInfoID,67,JA_BGM_D_GANON_2
JAISoundInfoID,67,JA_STRM_DEMO_42_05
JAISoundInfoID,68,JA_BGM_BAACHAN
JAISoundInfoID,68,JA_STRM_DEMO_42_06
JAISoundInfoID,69,JA_BGM_DEKU_PINCH
JAISoundInfoID,69,JA_STRM_DEMO_35_01
JAISoundInfoID,70,JA_BGM_DIOCTA_2
JAISoundInfoID,70,JA_STRM_DEMO_35_02
JAISoundInfoID,71,JA_BGM_P_GANON_2
JAISoundInfoID,71,JA_STRM_DEMO_35_03
JAISoundInfoID,72,JA_BGM_BIG_POW
JAISoundInfoID,72,JA_STRM_DEMO_35_04
JAISoundInfoID,73,JA_BGM_PAST_BIG_POW
JAISoundInfoID,73,JA_STRM_DEMO_42_07
JAISoundInfoID,74,JA_BGM_PAST_BKM
JAISoundInfoID,74,JA_STRM_DEMO_42_LAUGH
JAISoundInfoID,75,JA_BGM_PAST_GOMA
JAISoundInfoID,76,JA_BGM_PAST_RANE
JAISoundInfoID,77,JA_BGM_GANON_BATTLE
JAISoundInfoID,78,JA_BGM_MASTER_SWORD
JAISoundInfoID,79,JA_BGM_GET_PEARL
JAISoundInfoID,80,JA_BGM_BIRDMAN
JAISoundInfoID,81,JA_BGM_BIRDMAN_GOAL
JAISoundInfoID,82,JA_BGM_BIRDMAN_FAIL
JAISoundInfoID,83,JA_BGM_ELF
JAISoundInfoID,84,JA_BGM_PAST_GOMA_2
JAISoundInfoID,85,JA_BGM_ISLAND_LINK_3
JAISoundInfoID,86,JA_BGM_DEATH_VALLEY
JAISoundInfoID,87,JA_BGM_JABOO_CAVE
JAISoundInfoID,88,JA_BGM_SUB_DUNGEON
JAISoundInfoID,89,JA_BGM_BGN_KUGUTSU
JAISoundInfoID,90,JA_BGM_BGN_TARABA
JAISoundInfoID,91,JA_BGM_BGN_HAYAMUSHI
JAISoundInfoID,92,JA_BGM_BGN_TARABA_IN
JAISoundInfoID,93,JA_BGM_BGN_GET_BOX
JAISoundInfoID,94,JA_BGM_I_MAJU_2ND
JAISoundInfoID,95,JA_BGM_MAKORE_TAKT_8
JAISoundInfoID,96,JA_BGM_MEDORI_TAKT_8
JAISoundInfoID,97,JA_BGM_TRIFORCE_DEMO
JAISoundInfoID,208,JA_SE_ALMOST_DIE_ALERM_1
JAISoundInfoID,209,JA_SE_ALMOST_DIE_ALERM_2
JAISoundInfoID,210,JA_SE_ALMOST_DIE_ALERM_3
JAISoundInfoID,219,JA_SE_OMAMORI_BLINK_SUS
JAISoundInfoID,2048,JA_BGM_SE_SEQUENCE
JAISoundInfoID,2048,JA_SE_CURSOR_MOVE_1
JAISoundInfoID,2049,JA_SE_OK_1
JAISoundInfoID,2050,JA_SE_CANCEL_1
JAISoundInfoID,2051,JA_SE_SCROLL_1
JAISoundInfoID,2052,JA_SE_L_FOCUS_SET
JAISoundInfoID,2053,JA_SE_L_FOCUS_RESET
JAISoundInfoID,2054,JA_SE_READ_RIDDLE_1
JAISoundInfoID,2055,JA_SE_NO_SE
JAISoundInfoID,2057,JA_SE_TELESCOPE_STOP
JAISoundInfoID,2058,JA_SE_TALK_START
JAISoundInfoID,2059,JA_SE_TALK_NEXT
JAISoundInfoID,2060,JA_SE_TALK_WIN_OPEN
JAISoundInfoID,2061,JA_SE_TALK_WIN_CLOSE
JAISoundInfoID,2062,JA_SE_ITM_MENU_CURSOR
JAISoundInfoID,2063,JA_SE_ITM_MENU_IN
JAISoundInfoID,2064,JA_SE_ITM_MENU_OUT
JAISoundInfoID,2065,JA_SE_ITM_MENU_PANEL_IN
JAISoundInfoID,2066,JA_SE_ITM_MENU_LRUD_IN
JAISoundInfoID,2067,JA_SE_ITM_MENU_ITEMS_IN
JAISoundInfoID,2068,JA_SE_ITM_MENU_EXP_IN
JAISoundInfoID,2069,JA_SE_ITM_MENU_PAGE
JAISoundInfoID,2070,JA_SE_ITM_MENU_EXP_OUT
JAISoundInfoID,2071,JA_SE_ITM_MENU_SET
JAISoundInfoID,2072,JA_SE_MAP_SHOW
JAISoundInfoID,2073,JA_SE_MAP_SHOW_END
JAISoundInfoID,2074,JA_SE_MAP_CANCEL
JAISoundInfoID,2076,JA_SE_CAMERA_L_MOVE
JAISoundInfoID,2077,JA_SE_CAMERA_L_CANCEL
JAISoundInfoID,2079,JA_SE_COMPASS_MOVE
JAISoundInfoID,2080,JA_SE_INDICATOR_1
JAISoundInfoID,2081,JA_SE_HEART_PIECE
JAISoundInfoID,2082,JA_SE_ITM_SUBMENU_IN_1
JAISoundInfoID,2083,JA_SE_ITM_SUBMENU_IN_2
JAISoundInfoID,2084,JA_SE_ITM_SUBMENU_OUT
JAISoundInfoID,2085,JA_SE_TALK_END
JAISoundInfoID,2086,JA_SE_LUPY_GET
JAISoundInfoID,2087,JA_SE_CONSUMP_ITEM_GET
JAISoundInfoID,2088,JA_SE_CAMERA_TO_MANUAL
JAISoundInfoID,2089,JA_SE_BOOM_LOCK_ON_1
JAISoundInfoID,2090,JA_SE_BOOM_LOCK_ON_2
JAISoundInfoID,2091,JA_SE_BOOM_LOCK_ON_3
JAISoundInfoID,2092,JA_SE_BOOM_LOCK_ON_4
JAISoundInfoID,2093,JA_SE_BOOM_LOCK_ON_5
JAISoundInfoID,2094,JA_SE_OP_PUSH_START
JAISoundInfoID,2095,JA_SE_OP_ENTER_GAME
JAISoundInfoID,2096,JA_SE_MSEL_CURSOR
JAISoundInfoID,2097,JA_SE_MSEL_OK_1
JAISoundInfoID,2098,JA_SE_MSEL_CANCEL_1
JAISoundInfoID,2099,JA_SE_MSEL_ENTER_GAME
JAISoundInfoID,2100,JA_SE_MAJUTOU_ALERM
JAISoundInfoID,2101,JA_SE_BLUE_LUPY_GET
JAISoundInfoID,2102,JA_SE_RED_LUPY_GET
JAISoundInfoID,2103,JA_SE_PURPLE_LUPY_GET
JAISoundInfoID,2104,JA_SE_SILVER_LUPY_GET
JAISoundInfoID,2105,JA_SE_LUPY_INC_CNT_1
JAISoundInfoID,2106,JA_SE_LUPY_INC_CNT_2
JAISoundInfoID,2107,JA_SE_LUPY_DEC_CNT_1
JAISoundInfoID,2108,JA_SE_LUPY_DEC_CNT_2
JAISoundInfoID,2109,JA_SE_TALK_CURSOR
JAISoundInfoID,2110,JA_SE_SHOCK_SW_ON
JAISoundInfoID,2111,JA_SE_SWIM_TIMER_ON
JAISoundInfoID,2112,JA_SE_SWIM_TIMER_BLINLK
JAISoundInfoID,2113,JA_SE_SWIM_TIMER_ALERT_1
JAISoundInfoID,2114,JA_SE_MAJUTOU_JAIL_DOOR
JAISoundInfoID,2115,JA_SE_SGAME_COUNTDOWN
JAISoundInfoID,2116,JA_SE_SGAME_COUNT_GO
JAISoundInfoID,2117,JA_SE_SGAME_TIMER_30
JAISoundInfoID,2118,JA_SE_SGAME_TIMER_10
JAISoundInfoID,2119,JA_SE_SGAME_TIMER_0
JAISoundInfoID,2120,JA_SE_SGAME_YOU_GOT
JAISoundInfoID,2121,JA_SE_SGAME_DISP_LUPY
JAISoundInfoID,2122,JA_SE_ITM_MENU_DECIDE
JAISoundInfoID,2123,JA_SE_ITM_MENU_CANCEL
JAISoundInfoID,2124,JA_SE_ITM_MENU_OPT_IN
JAISoundInfoID,2125,JA_SE_ITM_MENU_OPT_OUT
JAISoundInfoID,2126,JA_SE_ITM_MENU_OPT_STR
JAISoundInfoID,2127,JA_SE_ITM_MENU_OPT_SW
JAISoundInfoID,2128,JA_SE_ITM_MENU_MAP_IN
JAISoundInfoID,2129,JA_SE_ITM_MENU_MAP_OUT
JAISoundInfoID,2130,JA_SE_ITM_OMAMORI_BLINK
JAISoundInfoID,2131,JA_SE_ITM_OMAMORI_ST_TALK
JAISoundInfoID,2132,JA_SE_ITM_OMAMORI_TETLA
JAISoundInfoID,2133,JA_SE_ITM_OMAMORI_ED_TALK
JAISoundInfoID,2134,JA_SE_EXIT_GAME_PANEL
JAISoundInfoID,2135,JA_SE_EXIT_GAME_CURSOR
JAISoundInfoID,2136,JA_SE_EXIT_GAME_SEL_YES
JAISoundInfoID,2137,JA_SE_EXIT_GAME_SEL_NO
JAISoundInfoID,2138,JA_SE_EXIT_GAME_OVER
JAISoundInfoID,2139,JA_SE_VS_JI_OPENING
JAISoundInfoID,2140,JA_SE_VS_JI_ENDING
JAISoundInfoID,2141,JA_SE_ITM_OMAMORI_SHIP
JAISoundInfoID,2142,JA_SE_MAN_CAMERA_NG
JAISoundInfoID,2143,JA_SE_SP_ATTACK_ON
JAISoundInfoID,2144,JA_SE_SGAME_PERFECT
JAISoundInfoID,2145,JA_SE_SYS_EV_TIMER_20
JAISoundInfoID,2146,JA_SE_SYS_EV_TIMER_10
JAISoundInfoID,2147,JA_SE_SYS_EV_TIMER_5
JAISoundInfoID,2148,JA_SE_SYS_EV_TIMER_0
JAISoundInfoID,2149,JA_SE_TAKT_CMD_01
JAISoundInfoID,2150,JA_SE_TAKT_CMD_02
JAISoundInfoID,2151,JA_SE_TAKT_CMD_03
JAISoundInfoID,2152,JA_SE_TAKT_CMD_04
JAISoundInfoID,2153,JA_SE_TAKT_CMD_05
JAISoundInfoID,2154,JA_SE_TAKT_CMD_06
JAISoundInfoID,2155,JA_SE_TAKT_CMD_07
JAISoundInfoID,2156,JA_SE_TAKT_CMD_08
JAISoundInfoID,2157,JA_SE_TAKT_CMD_09
JAISoundInfoID,2158,JA_SE_TAKT_CMD_10
JAISoundInfoID,2159,JA_SE_TAKT_USE_BEGIN
JAISoundInfoID,2160,JA_SE_TAKT_USE_CANCEL
JAISoundInfoID,2161,JA_SE_TAKT_MATCHED
JAISoundInfoID,2162,JA_SE_TAKT_WIND_DISP
JAISoundInfoID,2163,JA_SE_TAKT_WIND_CANCEL
JAISoundInfoID,2164,JA_SE_TAKT_WIND_CURSOR
JAISoundInfoID,2165,JA_SE_TAKT_WIND_DECIDE
JAISoundInfoID,2166,JA_SE_TAKT_WIND_DEMO
JAISoundInfoID,2167,JA_SE_TAKT_WIND_END
JAISoundInfoID,2168,JA_SE_UTSUSHIE_SHUTTER
JAISoundInfoID,2169,JA_SE_MAGIC_POT_GET_S
JAISoundInfoID,2170,JA_SE_MAGIC_POT_GET_L
JAISoundInfoID,2171,JA_SE_SPOILS_GET
JAISoundInfoID,2172,JA_SE_HP_GAUGE_INC
JAISoundInfoID,2173,JA_SE_MP_GAUGE_INC
JAISoundInfoID,2174,JA_SE_MP_GAUGE_DEC
JAISoundInfoID,2175,JA_SE_SHOP_BOUGHT
JAISoundInfoID,2176,JA_SE_TALK_SEL_CANCEL
JAISoundInfoID,2177,JA_SE_MP_GAUGE_DEC_FIN
JAISoundInfoID,2178,JA_SE_LAGGAGE_IN_POST
JAISoundInfoID,2179,JA_SE_ITEM_TARGET_OUT
JAISoundInfoID,2180,JA_SE_TALK_SEL_WIN_OPEN
JAISoundInfoID,2181,JA_SE_CTRL_LINK_TO_NPC
JAISoundInfoID,2182,JA_SE_CTRL_NPC_TO_LINK
JAISoundInfoID,2183,JA_SE_WTAKT_METRONOME
JAISoundInfoID,2184,JA_SE_WTAKT_DRONE
JAISoundInfoID,2185,JA_SE_WTAKT_DANCE01
JAISoundInfoID,2186,JA_SE_WTAKT_DANCE02
JAISoundInfoID,2187,JA_SE_WTAKT_DANCE03
JAISoundInfoID,2188,JA_SE_WTAKT_DANCE04
JAISoundInfoID,2189,JA_SE_WTAKT_DANCE05
JAISoundInfoID,2190,JA_SE_WTAKT_DANCE06
JAISoundInfoID,2191,JA_SE_WTAKT_DANCE07
JAISoundInfoID,2192,JA_SE_WTAKT_DANCE08
JAISoundInfoID,2193,JA_SE_WTAKT_DANCE09
JAISoundInfoID,2194,JA_SE_WTAKT_DANCE10
JAISoundInfoID,2195,JA_SE_WTAKT_PULSE_3
JAISoundInfoID,2196,JA_SE_WTAKT_PULSE_4
JAISoundInfoID,2197,JA_SE_WTAKT_PULSE_6
JAISoundInfoID,2198,JA_SE_WTAKT_MATCH_SIGNAL
JAISoundInfoID,2199,JA_SE_MSEL_ALERT_PANEL_IN
JAISoundInfoID,2200,JA_SE_MSEL_ALERT_PANEL_OUT
JAISoundInfoID,2201,JA_SE_MSEL_CLOTH_ON
JAISoundInfoID,2202,JA_SE_MSEL_DATA_MANAGE_S
JAISoundInfoID,2203,JA_SE_MSEL_DATA_MANAGE_E
JAISoundInfoID,2204,JA_SE_NAME_CURSOR
JAISoundInfoID,2205,JA_SE_NAME_INPUT
JAISoundInfoID,2206,JA_SE_NAME_DELETE
JAISoundInfoID,2207,JA_SE_NAME_PUSH_BUTTON
JAISoundInfoID,2208,JA_SE_NAME_NAME_CURSOR
JAISoundInfoID,2209,JA_SE_NAME_STR_SWITCH
JAISoundInfoID,2210,JA_SE_READ_RIDDLE_2
JAISoundInfoID,2211,JA_SE_READ_RIDDLE_3
JAISoundInfoID,2212,JA_SE_READ_RIDDLE_C
JAISoundInfoID,2213,JA_SE_MINIGAME_RIGHT
JAISoundInfoID,2214,JA_SE_MINIGAME_WRONG
JAISoundInfoID,2215,JA_SE_PRE_TAKT
JAISoundInfoID,2216,JA_SE_PLAYSPOT_START
JAISoundInfoID,2217,JA_SE_PLAYSPOT_CURSOR
JAISoundInfoID,2218,JA_SE_PLAYSPOT_DESTROY
JAISoundInfoID,2219,JA_SE_PLAYSPOT_END_S
JAISoundInfoID,2220,JA_SE_PLAYSPOT_END_F
JAISoundInfoID,2221,JA_SE_MINIGAME_TIMER_30
JAISoundInfoID,2222,JA_SE_MINIGAME_TIMER_10
JAISoundInfoID,2223,JA_SE_LETTER_GAME_TIMER_0
JAISoundInfoID,2224,JA_SE_LETTER_GAME_CURSOR
JAISoundInfoID,2225,JA_SE_LETTER_GAME_OK
JAISoundInfoID,2226,JA_SE_ISLE_TIMER_0
JAISoundInfoID,2227,JA_SE_FORCE_BACK
JAISoundInfoID,2228,JA_SE_FORCE_BACK_RETURN
JAISoundInfoID,2229,JA_SE_ITEM_COL_SW
JAISoundInfoID,2230,JA_SE_ITEM_EXP_OPEN
JAISoundInfoID,2231,JA_SE_ITEM_EQUIP_ON
JAISoundInfoID,2232,JA_SE_ITEM_EQUIP_OFF
JAISoundInfoID,2233,JA_SE_SAVE_PANEL_IN
JAISoundInfoID,2234,JA_SE_SAVE_PANEL_OUT
JAISoundInfoID,2235,JA_SE_SAVE_START
JAISoundInfoID,2236,JA_SE_SAVE_CANCEL
JAISoundInfoID,2237,JA_SE_SAVE_FINISH
JAISoundInfoID,2238,JA_SE_ALERT_DATA
JAISoundInfoID,2239,JA_SE_ANY_KEY_1
JAISoundInfoID,2240,JA_SE_CONTINUE_GAME
JAISoundInfoID,2241,JA_SE_QUIT_GAME
JAISoundInfoID,2242,JA_SE_MAP_ZOOM
JAISoundInfoID,2243,JA_SE_CHART_CURSOR
JAISoundInfoID,2244,JA_SE_CHART_ZOOM_IN
JAISoundInfoID,2245,JA_SE_CHART_ZOOM_OUT
JAISoundInfoID,2246,JA_SE_CHART_TO_COMPARE
JAISoundInfoID,2247,JA_SE_CHART_COMP_LR
JAISoundInfoID,2248,JA_SE_CHART_OPEN_MAP
JAISoundInfoID,2249,JA_SE_CHART_SEL_MAP
JAISoundInfoID,2250,JA_SE_CHART_TO_NORMAL
JAISoundInfoID,2251,JA_SE_SHIPPU_CHART_OPEN
JAISoundInfoID,2252,JA_SE_SHIPPU_CHART_CLOSE
JAISoundInfoID,2253,JA_SE_SHIPPU_DIST_SEL
JAISoundInfoID,2254,JA_SE_SHIPPU_WARP_OK
JAISoundInfoID,2255,JA_SE_SHIPPU_WARP_CANCEL
JAISoundInfoID,2259,JA_SE_UTUSHIE_CHANGE_MODE
JAISoundInfoID,2260,JA_SE_UTUSHIE_SAVE_PIC
JAISoundInfoID,2261,JA_SE_UTUSHIE_DEL_PIC
JAISoundInfoID,2262,JA_SE_UTUSHIE_SWITCH_PIC
JAISoundInfoID,2263,JA_SE_UTUSHIE_PIC_OK
JAISoundInfoID,2264,JA_SE_UTUSHIE_B_DEL_PIC
JAISoundInfoID,2265,JA_SE_UTUSHIE_B_LEAVE_PIC
JAISoundInfoID,2266,JA_SE_CHUYA_SWITCH
JAISoundInfoID,2268,JA_SE_AUC_ITEM_SHOW
JAISoundInfoID,2269,JA_SE_AUC_START
JAISoundInfoID,2270,JA_SE_AUC_END
JAISoundInfoID,2271,JA_SE_AUC_PRICE_INC
JAISoundInfoID,2272,JA_SE_AUC_PRICE_STOP
JAISoundInfoID,2273,JA_SE_AUC_BID_CURSOR_LR
JAISoundInfoID,2274,JA_SE_AUC_BID_CURSOR_UD
JAISoundInfoID,2275,JA_SE_AUC_BID_OK
JAISoundInfoID,2276,JA_SE_AUC_BID_GAUGE
JAISoundInfoID,2277,JA_SE_AUC_BID_NG
JAISoundInfoID,2278,JA_SE_AUC_QUIT
JAISoundInfoID,2279,JA_SE_AUC_LAST_SPURT
JAISoundInfoID,2280,JA_SE_AUC_FEW_TIME
JAISoundInfoID,2281,JA_SE_AUC_5_SEC
JAISoundInfoID,2282,JA_SE_MINIGAME_TIMER_EACH
JAISoundInfoID,2283,JA_SE_AUC_BID_GAUGE_MAX
JAISoundInfoID,2284,JA_SE_ESA_GET
JAISoundInfoID,2285,JA_SE_WTAKT_DRONE_4
JAISoundInfoID,2286,JA_SE_WTAKT_DRONE_6
JAISoundInfoID,2287,JA_SE_HYOI_USE_DEMO
JAISoundInfoID,2288,JA_SE_START_WHISTLE
JAISoundInfoID,2289,JA_SE_END_WHISTLE
JAISoundInfoID,2290,JA_SE_15PUZZLE_START
JAISoundInfoID,2291,JA_SE_15PUZZLE_EXIT
JAISoundInfoID,2292,JA_SE_15PUZZLE_COMPLETE
JAISoundInfoID,2293,JA_SE_ME_ITEM_GET_S
JAISoundInfoID,2294,JA_SE_COLL_TAKT_RIGHT
JAISoundInfoID,2295,JA_SE_COLL_TAKT_WRONG
JAISoundInfoID,2296,JA_SE_SEED_OK_BLINK
JAISoundInfoID,2297,JA_SE_SUBJ_VIEW_POSSIBLE
JAISoundInfoID,2298,JA_SE_SUBJ_VIEW_IN
JAISoundInfoID,2299,JA_SE_SUBJ_VIEW_OUT
JAISoundInfoID,2300,JA_SE_GAAN
JAISoundInfoID,2301,JA_SE_DEMO_MSG_NEXT
